Date,Open,High,Low,Close,Volume,Company,company
2024-10-22,-0.4508573869749943,-0.4569096189624196,-0.4563224491034676,-0.4587922610356934,-0.3783175237793401,price_snow,snow
2024-10-21,-0.4375923635184304,-0.4378891265887113,-0.4361592029470231,-0.4363264877867902,-0.4214333658909238,price_snow,snow
2024-10-18,-0.4336517080145977,-0.4405750174426355,-0.4334147611090626,-0.4364371566205286,-0.4189835637192814,price_snow,snow
2024-10-17,-0.4392019270340804,-0.4452890299617678,-0.4385675906823762,-0.4392592118808588,-0.4011437880489346,price_snow,snow
2024-10-16,-0.4142259414464078,-0.4244596723190901,-0.4300542200829886,-0.4399785593001587,-0.3964364680745132,price_snow,snow
2024-10-15,-0.4197761604658906,-0.4219382237623449,-0.4159959567905786,-0.4187301432223784,-0.4129393006838204,price_snow,snow
2024-10-14,-0.4035695209290008,-0.4080154426011866,-0.4094429017897342,-0.4164060977138712,-0.4014406870094949,price_snow,snow
2024-10-11,-0.413837426115044,-0.4053295517472625,-0.407258550122786,-0.4115920034462491,-0.3635559532161993,price_snow,snow
2024-10-10,-0.4365378219047287,-0.422431550653882,-0.4282059225186478,-0.4129200294511103,-0.3337016167125299,price_snow,snow
2024-10-09,-0.46517695204526,-0.444412004376813,-0.4578907015823022,-0.4357178092012288,-0.3339709102136561,price_snow,snow
2024-10-08,-0.4682295725059756,-0.4709420283216972,-0.4619233508135911,-0.4697484755757989,-0.4114339895691283,price_snow,snow
2024-10-07,-0.4646219301433117,-0.4699005604395633,-0.4623154139332996,-0.4680884430697223,-0.3988586367323927,price_snow,snow
2024-10-04,-0.4779979579802653,-0.4672694836846988,-0.4730131361996355,-0.4631083455514925,-0.3693570553577119,price_snow,snow
2024-10-03,-0.4947041172289085,-0.4940187640258217,-0.4866793363723368,-0.4866254727209109,-0.3997562209517679,price_snow,snow
2024-10-02,-0.4893759069702051,-0.4908943603794201,-0.4841589306027812,-0.4911628949041868,-0.3818820366472788,price_snow,snow
2024-10-01,-0.4682850746961703,-0.4726412653925472,-0.4810784346622133,-0.4879534987257721,-0.3581605026404263,price_snow,snow
2024-11-18,0.5001171398231904,0.5272227155550422,0.5007036261053284,0.5013152060621363,-0.450428566632692,price_powl,powl
2024-11-15,0.5146032114640405,0.5381855353669779,0.4142817127181233,0.443324737183194,-0.4483508911040009,price_powl,powl
2024-11-14,0.661017989197997,0.6512122076280342,0.5506076603425285,0.5649497854617389,-0.4502097148145562,price_powl,powl
2024-11-13,0.8145925494670863,0.7966888265324199,0.6747236422388643,0.6574689304670742,-0.4479607956635217,price_powl,powl
